Date,Predicted_Emergency_Cases
2024-12-31,31.678791976653724
2025-01-01,31.23911209917029
2025-01-02,31.493331147148727
2025-01-03,31.602644264024047
2025-01-04,31.60148320255495
2025-01-05,31.37371820356512
2025-01-06,31.906145876186983
2025-01-07,31.517448106085613
2025-01-08,31.09400154155519
2025-01-09,31.344347797025893
2025-01-10,31.45715286059021
2025-01-11,31.466967298100037
2025-01-12,31.257529883035055
2025-01-13,31.81522613354955
2025-01-14,31.458152211888745
2025-01-15,31.071810921250055
2025-01-16,31.363676104611752
2025-01-17,31.52121733927275
2025-01-18,31.577638307990973
2025-01-19,31.41524736569749
2025-01-20,32.018929678771975
2025-01-21,31.7053529869268
2025-01-22,31.35857972763891
2025-01-23,31.684747023257458
2025-01-24,31.870169104087964
2025-01-25,31.947056874259214
2025-01-26,31.796948847820637
2025-01-27,32.40418083467124
2025-01-28,32.08520841541947
2025-01-29,31.724101621557132
2025-01-30,32.02729944732005
2025-01-31,32.18174260962784
