Date,Predicted_Patients
2024-12-31,328.6010979218737
2025-01-01,330.7407655241843
2025-01-02,330.66519111483734
2025-01-03,330.91124399078075
2025-01-04,331.25712218408523
2025-01-05,331.2140340369948
2025-01-06,331.22347610452533
2025-01-07,331.47413812279063
2025-01-08,331.27822919014324
2025-01-09,331.1024354023992
2025-01-10,331.23902517872455
2025-01-11,331.4695953969853
2025-01-12,331.3089317286091
2025-01-13,331.20217771662817
2025-01-14,331.3416264064588
2025-01-15,331.04293450208775
2025-01-16,330.7759743973088
2025-01-17,330.83583854125646
2025-01-18,331.0064959303002
2025-01-19,330.80457650926854
2025-01-20,330.67648069196525
2025-01-21,330.8151269261544
2025-01-22,330.53614111879585
2025-01-23,330.3087058527874
2025-01-24,330.4265790791547
2025-01-25,330.67178536826754
2025-01-26,330.55845422958726
2025-01-27,330.5300015329562
2025-01-28,330.77596216561045
2025-01-29,330.60827772932265
2025-01-30,330.49225610286487
2025-01-31,330.7177043670075
